ID_REF,GSM759848,GSM759849,GSM759850,GSM759851,GSM759852
1761889_s_at,1055.934,942.6085,592.9229,990.2913,327.156
1761890_s_at,594.3549,483.2314,245.3918,714.8044,161.4995
1761891_at,2771.231,2185.573,2687.367,1862.64,604.6157
1761892_s_at,475.2153,499.8631,304.0202,520.8793,168.8094
1761893_at,610.2648,537.2686,447.5546,480.825,447.2646
1761894_s_at,1.391521,0.3654275,0.9890339,0.6467414,1.443135
1761895_s_at,0.5839288,0.5444304,1.991741,1.165697,1.977201
1761896_s_at,1747.092,1466.567,2752.071,2109.267,1260.219
1761897_s_at,4.990445,2.152532,8.29424,4.499084,0.9825888
1761898_s_at,653.8799,654.2697,464.0162,625.9767,746.0305
1761899_s_at,1123.805,1148.935,837.4476,1066.364,676.2656
1761900_s_at,1.320859,1.021823,14.7004,0.8664623,0.9384829
1761901_s_at,0.1769256,0.1607039,3.035815,0.7094886,3.812752
1761902_s_at,943.7206,688.942,620.4837,975.4431,269.1785
1761903_s_at,749.7173,775.0437,471.039,862.9272,216.2226
1761904_s_at,586.4221,627.4604,181.5885,370.7204,174.3078
1761905_s_at,0.6976222,2.675132,1.54253,1.050417,11.47518
1761906_s_at,701.8596,589.3426,296.5674,638.3489,219.3228
1761907_s_at,1067.967,737.5626,607.4016,1002.119,702.5945
1761908_s_at,718.7565,672.5552,1290.436,701.7357,1471.031
1761909_s_at,4.723887,4.16655,5.391706,8.25908,8.533834
1761910_s_at,875.8004,900.5239,613.6911,806.2274,493.4669
1761911_s_at,811.9995,849.0781,597.7393,761.136,446.006
1761912_s_at,594.3337,656.0062,454.5289,705.77,205.6301
1761913_s_at,5.969308,5.275843,9.517978,2.084034,9.625534
1761914_at,1.933857,5.866536,1.592882,10.49505,1.275677
1761915_s_at,527.559,509.1971,406.4511,502.2427,500.2525
1761916_s_at,641.0663,744.7148,410.8999,637.5229,290.8396
1761917_s_at,4318.574,4809.84,12577.63,5702.656,12087.09
1761918_s_at,675.9454,566.9653,282.1955,496.2988,274.1668
1761919_at,778.8636,912.134,423.6109,646.5627,282.7799
1761920_s_at,810.1005,697.2497,927.2096,983.874,518.7844
1761921_s_at,555.9797,513.2985,381.5576,544.7751,257.1817
1761923_at,569.2856,601.5866,306.6272,523.3965,300.4196
1761924_s_at,838.773,828.7722,728.4116,997.227,367.4796
1761925_s_at,663.8035,547.1641,406.6013,695.2351,638.4884
1761926_s_at,555.8315,609.0962,414.2878,694.7738,320.6817
1761927_s_at,1.292034,1.920486,1.951907,7.219002,2.234991
1761928_at,7.222343,8.125457,16.14837,2.400605,8.618542
1761929_s_at,927.3967,777.7973,469.7076,967.2513,401.743
1761930_s_at,0.4368751,0.7849472,0.6640024,4.829775,0.5588937
