ID	Gene Symbol
1759755_s_at	cesD /// ECs4576
1759756_s_at	ECs1358 /// terF /// terF_2
1759757_s_at	ECs4599 /// yicN /// yicN
1759758_s_at	ECs4433 /// yhjY /// yhjY /// yhjY
1759759_s_at	ECs4797 /// yshA
1759760_s_at	ECs4571 /// sepZ
1759761_s_at	c1990 /// ECs2304 /// ydgD /// Z2592
1759762_s_at	c4498 /// ECs1372 /// insB /// Z1192 /// Z1632
1759763_s_at	ECs0755 /// Z0885
1759765_s_at	ECs5344 /// Z5987
1759767_at	astD
1759768_s_at	ECs1515 /// Z1779
1759769_s_at	c0139 /// c0352 /// c1262 /// c1521 /// c1553 /// c3594 /// c5166 /// c5178 /// c5213 /// ECs1090 /// ECs1208 /// ECs1380 /// ECs1666 /// ECs1689 /// ECs1918 /// ECs2219 /// ECs2478 /// ECs2745 /// ECs2795 /// ECs2932 /// ECs2959 /// ECs3133 /// ECs3491 /// ECs3862 /// ECs4025 /// ECs5244 /// Z1198 /// Z1207 /// Z1221 /// Z1638 /// Z1647 /// Z1660 /// Z1934 /// Z1957 /// Z2073 /// Z2111 /// Z2376 /// Z2430 /// Z2806 /// Z3095 /// Z3162 /// Z3297 /// Z3925 /// Z4334 /// Z4503 /// Z5880
1759770_s_at	ECs0697 /// ybeY /// ybeY
1759774_at	entF
1759775_at	ptsA
1759776_s_at	bamC /// ECs3339 /// nlpB
1759777_s_at	cysP /// ECs3296
1759779_s_at	ECs0226 /// Z0257
1759780_s_at	ECs2384 /// lpp /// lpp
1759781_s_at	ECs1205 /// stx2A
1759782_s_at	c5428 /// ECs5312 /// yjiX /// yjiX
1759783_s_at	ECs1393 /// Z1208 /// Z1648
1759784_s_at	c1008
1759785_at	c5065
1759786_s_at	ECs0950 /// Z1098
1759787_s_at	ECs2670 /// yedK /// yedK
1759788_s_at	ECs4852 /// glpF /// glpF /// glpF
1759789_s_at	rseB /// rseB
1759790_at	prmB
1759791_at	c1292
1759792_at	c3396
1759794_at	fadJ
1759795_s_at	c2375
1759796_at	ypjF
1759797_at	c4535
1759798_s_at	ECs3467 /// yfiN /// yfiN
1759799_s_at	ECs1854 /// pyrF /// pyrF
1759800_at	c4502
1759801_s_at	ECs0783 /// gpmA /// gpmA
1759803_s_at	c2885 /// ECs3223 /// sixA /// Z3603
